Date,Open,High,Low,Close ,Adj Close ,Volume
25-Apr-25,167.1,168.24,163,163.85,163.85,"35,105,800"
24-Apr-25,158.52,161.71,158.09,161.47,161.47,"30,787,500"
23-Apr-25,157.91,160.02,156.35,157.72,157.72,"18,575,700"
22-Apr-25,151.07,154.61,150.87,153.9,153.9,"15,910,300"
21-Apr-25,150.96,151.06,148.4,149.86,149.86,"16,147,800"
17-Apr-25,156.61,157.07,150.9,153.36,153.36,"19,513,400"
16-Apr-25,155.47,158.18,153.91,155.5,155.5,"16,921,500"
15-Apr-25,161.57,162.05,157.65,158.68,158.68,"15,690,800"
14-Apr-25,162.31,164.03,159.92,161.47,161.47,"18,255,900"
11-Apr-25,155.59,159.86,155.59,159.4,159.4,"22,582,000"
10-Apr-25,158.76,160.03,152.2,155.37,155.37,"35,270,500"
9-Apr-25,146.33,161.87,145.81,161.06,161.06,"46,479,500"
8-Apr-25,153.57,154.44,145.21,146.58,146.58,"35,304,400"
7-Apr-25,143.39,154.93,142.66,149.24,149.24,"47,823,000"
4-Apr-25,149.9,153.09,147.54,147.74,147.74,"39,832,200"
3-Apr-25,152.84,154.69,152.18,152.63,152.63,"28,416,100"
2-Apr-25,156.96,160.27,156.53,158.86,158.86,"17,113,300"
1-Apr-25,155.3,160.08,155.26,158.88,158.88,"20,111,400"
31-Mar-25,154.81,157.13,152.21,156.23,156.23,"33,591,600"
28-Mar-25,162.36,163.81,155.34,156.06,156.06,"34,866,500"
27-Mar-25,166.71,167.44,163.85,164.08,164.08,"21,571,200"
26-Mar-25,171.3,171.94,166.86,167.14,167.14,"22,498,000"
25-Mar-25,171.18,172.91,170.55,172.79,172.79,"13,841,600"
24-Mar-25,169.26,170.5,167.44,169.93,169.93,"18,742,800"
21-Mar-25,163.38,166.47,163.03,166.25,166.25,"29,882,100"
20-Mar-25,163.82,167.03,163.14,165.05,165.05,"19,981,500"
19-Mar-25,163.91,168.13,163.05,166.28,166.28,"24,955,700"
18-Mar-25,165.96,166.44,158.8,162.67,162.67,"24,616,800"
17-Mar-25,167.32,168.46,165.81,166.57,166.57,"17,839,100"
14-Mar-25,165.32,168.25,164.51,167.62,167.62,"18,611,100"
13-Mar-25,167.98,168.12,164.07,164.73,164.73,"15,206,200"
12-Mar-25,168.47,169.53,165.48,169,169,"19,880,100"
11-Mar-25,166.68,168.65,163.24,165.98,165.98,"23,705,900"
10-Mar-25,170.16,170.45,165.57,167.81,167.81,"28,990,700"
7-Mar-25,173.24,176.9,172.25,175.75,175.55,"16,395,300"
6-Mar-25,172.55,176.73,172.51,174.21,174.01,"19,082,400"
5-Mar-25,172.32,175.75,170.93,174.99,174.79,"18,848,000"
4-Mar-25,167.94,175.16,167.54,172.61,172.41,"30,711,400"
3-Mar-25,173.73,175,167.64,168.66,168.47,"24,122,000"
28-Feb-25,170.3,172.5,168.39,172.22,172.02,"30,049,800"
27-Feb-25,175.94,176.59,169.75,170.21,170.02,"25,930,500"
26-Feb-25,176.95,178.08,173.59,174.7,174.5,"23,637,200"
25-Feb-25,180.15,180.76,176.77,177.37,177.17,"20,832,500"
24-Feb-25,183.8,185.09,180.88,181.19,180.98,"18,734,000"
21-Feb-25,187.29,187.47,181.13,181.58,181.37,"19,520,800"
20-Feb-25,186.5,187.12,184.6,186.64,186.43,"12,063,800"
19-Feb-25,186.18,187.36,185.5,187.13,186.92,"13,120,500"
18-Feb-25,187.44,187.78,183.58,185.8,185.59,"19,796,000"
14-Feb-25,186.83,188.15,186.11,186.87,186.66,"12,714,200"
13-Feb-25,185.93,187.99,184.88,187.88,187.67,"12,729,300"
12-Feb-25,185.23,186.83,183.63,185.43,185.22,"17,632,300"
11-Feb-25,186.84,188.8,186.08,187.07,186.86,"13,028,100"
10-Feb-25,189.06,189.99,187.61,188.2,187.99,"16,606,000"
7-Feb-25,192.74,193.01,185.1,187.14,186.93,"29,565,700"
6-Feb-25,190.99,193.83,190.49,193.31,193.09,"20,816,600"
5-Feb-25,193.1,194.55,189.91,193.3,193.08,"43,666,400"
4-Feb-25,204.5,208.7,204.26,207.71,207.47,"28,285,400"
3-Feb-25,202.21,205.22,201.66,202.64,202.41,"16,719,500"
31-Jan-25,203.71,207.08,203.58,205.6,205.37,"17,087,300"
30-Jan-25,199.76,203.24,199.47,202.63,202.4,"14,571,500"
